key;result
7a616006b0f14d69a6cb094683fbed4f;{"time": "2018-12-06T13:00:47.544635", "fingerprints": ["c2d67115b2a790118da1e2f2a7d73fbbcc5d61e1", "c2d67115b2a790118da1e2f2a7d73fbbcc5d61e1", "c2d67115b2a790118da1e2f2a7d73fbbcc5d61e1", "c2d67115b2a790118da1e2f2a7d73fbbcc5d61e1", "c2d67115b2a790118da1e2f2a7d73fbbcc5d61e1"], "cookie_id": "80eccdc0c343427aa36823f278c347f4"}
d54a0c0f81ef4d2c885f766004436c2e;{"time": "2018-12-06T13:01:39.222539", "fingerprints": ["59947de4778bc6f252b009b9effa89b802add43f", "59947de4778bc6f252b009b9effa89b802add43f", "59947de4778bc6f252b009b9effa89b802add43f", "59947de4778bc6f252b009b9effa89b802add43f", "59947de4778bc6f252b009b9effa89b802add43f"], "cookie_id": "19127f0e78b346a9ab7ef3fe0d28a654"}
cc8592880ccd40afafc83bb96d39f16d;{"time": "2018-12-06T13:01:00.304497", "fingerprints": ["5e3c8541fe05714c10fd68fe6e1b76b1f1739c8a", "5e3c8541fe05714c10fd68fe6e1b76b1f1739c8a", "5e3c8541fe05714c10fd68fe6e1b76b1f1739c8a", "5e3c8541fe05714c10fd68fe6e1b76b1f1739c8a", "5e3c8541fe05714c10fd68fe6e1b76b1f1739c8a"], "cookie_id": "0d7b25668914481cbee43872df14e514"}
2d3dfdec8ed14ba4b0b4df34cc9bd478;{"time": "2018-12-06T13:02:18.279401", "fingerprints": ["b311407912adfe84bd47a56354c3ef598cf001bd", "b311407912adfe84bd47a56354c3ef598cf001bd", "b311407912adfe84bd47a56354c3ef598cf001bd", "b311407912adfe84bd47a56354c3ef598cf001bd", "b311407912adfe84bd47a56354c3ef598cf001bd"], "cookie_id": "f1d74127ad9f4d6dba0305fe6e622242"}
1ec9782757a34a5597841744eb622f2b;{"time": "2018-12-06T13:01:33.511492", "fingerprints": ["66d6c95037762691e59df82335b4f4d2efabb50a", "66d6c95037762691e59df82335b4f4d2efabb50a", "66d6c95037762691e59df82335b4f4d2efabb50a", "66d6c95037762691e59df82335b4f4d2efabb50a", "66d6c95037762691e59df82335b4f4d2efabb50a"], "cookie_id": "14aa89fc67a94840845737def5e8ffdf"}
2132826b5abf403c8e0f946e6111672d;{"time": "2018-12-06T13:01:41.984047", "fingerprints": ["212b6e99a4a961cf9e26ce268d36204e3dd464e5", "212b6e99a4a961cf9e26ce268d36204e3dd464e5", "212b6e99a4a961cf9e26ce268d36204e3dd464e5", "212b6e99a4a961cf9e26ce268d36204e3dd464e5", "212b6e99a4a961cf9e26ce268d36204e3dd464e5"], "cookie_id": "17ea3c1aa76e46d8a87ec1149a187fb5"}
49cae44a5f1c410a9f2131bf41438e1e;{"time": "2018-12-06T13:00:59.986687", "fingerprints": ["639f37feef2cee11fa22e69bea9677cab70001e9", "639f37feef2cee11fa22e69bea9677cab70001e9", "639f37feef2cee11fa22e69bea9677cab70001e9", "639f37feef2cee11fa22e69bea9677cab70001e9", "639f37feef2cee11fa22e69bea9677cab70001e9"], "cookie_id": "d97a84ad883c43ef8043a68d27055426"}
d2a464412f5a44a3a914e6471dce13fc;{"time": "2018-12-06T13:01:42.645214", "fingerprints": ["340f99ad30045153658cad0d552dabcfb1dfcddf", "340f99ad30045153658cad0d552dabcfb1dfcddf", "340f99ad30045153658cad0d552dabcfb1dfcddf", "340f99ad30045153658cad0d552dabcfb1dfcddf", "340f99ad30045153658cad0d552dabcfb1dfcddf"], "cookie_id": "fd1af0a23f5944c3a4c5ffd09b0df22d"}
8a3b805cb4444b10b9dea1417968bc50;{ }
695c8fad005749adb1f6f247ded4b93f;{"time": "2018-12-06T13:02:53.182904", "fingerprints": ["6aa976f31688574c3931c448ab725e67f1eec6c5", "6aa976f31688574c3931c448ab725e67f1eec6c5", "6aa976f31688574c3931c448ab725e67f1eec6c5", "6aa976f31688574c3931c448ab725e67f1eec6c5", "6aa976f31688574c3931c448ab725e67f1eec6c5"], "cookie_id": "d5a3eb5c1b91458eb1d66ef3cc529577"}
f8c4f6ded2e54ede8056cdd57450a35e;{"time": "2018-12-06T13:02:30.792733", "fingerprints": ["b311407912adfe84bd47a56354c3ef598cf001bd", "b311407912adfe84bd47a56354c3ef598cf001bd", "b311407912adfe84bd47a56354c3ef598cf001bd", "b311407912adfe84bd47a56354c3ef598cf001bd", "b311407912adfe84bd47a56354c3ef598cf001bd"], "cookie_id": "f1d74127ad9f4d6dba0305fe6e622242"}
b8c6b592131d4ae89768bf03e26af5dc;{"time": "2018-12-06T13:01:21.083176", "fingerprints": ["146744fb1e655256950d5f0966e67242aa0f7470", "146744fb1e655256950d5f0966e67242aa0f7470", "146744fb1e655256950d5f0966e67242aa0f7470", "146744fb1e655256950d5f0966e67242aa0f7470", "146744fb1e655256950d5f0966e67242aa0f7470"], "cookie_id": "a81817cd089d4f7fbf74bafcf23debdb"}
9f124a3f524349d3bf10e619e11b276f;{"time": "2018-12-06T13:01:44.253917", "fingerprints": ["34f2d695f6383ff9d352388f3b24e5fb43dd6a79", "34f2d695f6383ff9d352388f3b24e5fb43dd6a79", "34f2d695f6383ff9d352388f3b24e5fb43dd6a79", "34f2d695f6383ff9d352388f3b24e5fb43dd6a79", "34f2d695f6383ff9d352388f3b24e5fb43dd6a79"], "cookie_id": "708a15365b664cef9e87f092db20d5f7"}
8b0a837e209f48e484c5fee90b8ecf47;{"time": "2018-12-06T13:01:23.166789", "fingerprints": ["639f37feef2cee11fa22e69bea9677cab70001e9", "639f37feef2cee11fa22e69bea9677cab70001e9", "639f37feef2cee11fa22e69bea9677cab70001e9", "639f37feef2cee11fa22e69bea9677cab70001e9", "639f37feef2cee11fa22e69bea9677cab70001e9"], "cookie_id": "d97a84ad883c43ef8043a68d27055426"}
00492bc911d74027bf498c5e32acc7ae;{"time": "2018-12-06T13:01:59.601346", "fingerprints": ["10ded1dbcd99aa1a7e3498a840277e615554f2d5", "10ded1dbcd99aa1a7e3498a840277e615554f2d5", "10ded1dbcd99aa1a7e3498a840277e615554f2d5", "10ded1dbcd99aa1a7e3498a840277e615554f2d5", "10ded1dbcd99aa1a7e3498a840277e615554f2d5"], "cookie_id": "47b0471efa56481181487f148f637405"}
a13f2851d0ae486b8b7c8a763c5f8168;{"time": "2018-12-06T13:01:41.307388", "fingerprints": ["3f8084fe536ca1245d70389847df954b5dfe66bf", "3f8084fe536ca1245d70389847df954b5dfe66bf", "3f8084fe536ca1245d70389847df954b5dfe66bf", "3f8084fe536ca1245d70389847df954b5dfe66bf", "3f8084fe536ca1245d70389847df954b5dfe66bf"], "cookie_id": "f770453540ec4f159ba247fffa9f8145"}
01dd3a9ad6b548f2806764e3cba46efd;{"time": "2018-12-06T13:01:47.896092", "fingerprints": ["6aa976f31688574c3931c448ab725e67f1eec6c5", "6aa976f31688574c3931c448ab725e67f1eec6c5", "6aa976f31688574c3931c448ab725e67f1eec6c5", "6aa976f31688574c3931c448ab725e67f1eec6c5", "6aa976f31688574c3931c448ab725e67f1eec6c5"], "cookie_id": "d5a3eb5c1b91458eb1d66ef3cc529577"}
2f3ff58c9f9d45d780150230cb46abdc;{"time": "2018-12-06T13:01:31.848621", "fingerprints": ["a4697397abd0037c61fa5b9b80b864ddccbf1365", "a4697397abd0037c61fa5b9b80b864ddccbf1365", "a4697397abd0037c61fa5b9b80b864ddccbf1365", "a4697397abd0037c61fa5b9b80b864ddccbf1365", "a4697397abd0037c61fa5b9b80b864ddccbf1365"], "cookie_id": "e53facb3cf4b4030b0091f9db1dc3859"}
f0099b89a6c546a7903c913a41093149;{"time": "2018-12-06T13:01:45.719818", "fingerprints": ["06cbc3eb4579d5a3db6199f59ba094bd4110adac", "06cbc3eb4579d5a3db6199f59ba094bd4110adac", "06cbc3eb4579d5a3db6199f59ba094bd4110adac", "06cbc3eb4579d5a3db6199f59ba094bd4110adac", "06cbc3eb4579d5a3db6199f59ba094bd4110adac"], "cookie_id": "96f436bf85b340d1976285d85167515b"}
272b1d353dc54088adfedeebd16851f4;{"time": "2018-12-06T13:01:49.387415", "fingerprints": ["10ded1dbcd99aa1a7e3498a840277e615554f2d5", "10ded1dbcd99aa1a7e3498a840277e615554f2d5", "10ded1dbcd99aa1a7e3498a840277e615554f2d5", "10ded1dbcd99aa1a7e3498a840277e615554f2d5", "10ded1dbcd99aa1a7e3498a840277e615554f2d5"], "cookie_id": "47b0471efa56481181487f148f637405"}
631de6190b9b4f9c934997a9cc22315e;{"time": "2018-12-06T13:02:11.830614", "fingerprints": ["b311407912adfe84bd47a56354c3ef598cf001bd", "b311407912adfe84bd47a56354c3ef598cf001bd", "b311407912adfe84bd47a56354c3ef598cf001bd", "b311407912adfe84bd47a56354c3ef598cf001bd", "b311407912adfe84bd47a56354c3ef598cf001bd"], "cookie_id": "f1d74127ad9f4d6dba0305fe6e622242"}
